Generic Name,Brand Name(s),Indication,Side Effects,Clinical Pearls
Lisinopril,Prinivil; Zestril,Hypertension; heart failure; acute MI,"Hypotension, hyperkalemia, increased serum creatinine, dry cough, angioedema","ACE inhibitor, monitor BP, kidney function, serum potassium"
Valsartan,Diovan,Hypertension; heart failure; acute MI,"Hypotension, hyperkalemia, increased serum creatinine, angioedema","ARB, similar to ACE inhibitors but less dry cough"
Hydrochlorothiazide,Microzide; Oretic,Hypertension; edema,"Metabolic effects, electrolyte imbalances","Thiazide diuretic, first-line for hypertension"
Furosemide,Lasix,Hypertension; edema,"Metabolic effects, electrolyte imbalances","Loop diuretic, used primarily for heart failure"
Spironolactone,Aldactone,Hypertension; edema; cirrhosis,"Metabolic effects, gynecomastia","Potassium-sparing diuretic, aldosterone antagonist"
Amlodipine,Norvasc,Hypertension; angina,"Peripheral edema, palpitations","Dihydropyridine calcium channel blocker"
Verapamil,Calan,Hypertension; angina; atrial arrhythmias,"Palpitations, constipation","Non-dihydropyridine calcium channel blocker, monitor heart rate"
Diltiazem,Cardizem CD/LA; Tiazac,Hypertension; angina; atrial arrhythmias,"Palpitations, constipation","Non-dihydropyridine calcium channel blocker, monitor heart rate"
Atenolol,Tenormin,Acute MI; angina; heart failure; hypertension,"Fatigue, bradycardia, blunted exercise response, sexual dysfunction","Beta blocker, not first-line for HTN, caution in diabetes and respiratory conditions"
Metoprolol tartrate,Lopressor,Acute MI; angina; heart failure; hypertension,"Fatigue, bradycardia, blunted exercise response, sexual dysfunction","Beta blocker, twice daily dosing"
Metoprolol succinate,Toprol XL,Acute MI; angina; heart failure; hypertension,"Fatigue, bradycardia, blunted exercise response, sexual dysfunction","Beta blocker, once daily dosing, used for heart failure"
Aspirin,Bayer,Acute coronary syndrome; secondary CV prevention,"Bleeding, GI ulceration","Antiplatelet agent, awareness of bleeding signs, may need to hold before procedures"
Clopidogrel,Plavix,Acute coronary syndrome; secondary CV prevention,Bleeding,"Antiplatelet agent, often used with aspirin (DAPT)"
Warfarin,Coumadin; Jantoven,Atrial fibrillation; PE; DVT,"Bleeding, drug-drug and drug-food interactions","Anticoagulant, requires INR monitoring, many interactions"
Atorvastatin,Lipitor,Hypercholesterolemia; primary and secondary CV prevention,"Muscle pain or weakness, liver dysfunction","Statin, first-line for LDL lowering, timing of dose, diet considerations"
Ezetimibe,Zetia,Hypercholesterolemia; familial hypercholesterolemia,GI upset,"Absorption inhibitor, adjunct to lower LDL"
Fenofibrate,Tricor,Hypertriglyceridemia; hypercholesterolemia,"GI upset, muscle pain","Fibric acid, triglyceride lowering"
Omeprazole,Prilosec,GERD; heartburn; peptic ulcer disease; Zollinger-Ellison syndrome,"Long-term: electrolyte imbalances, bone fractures, infection risk","PPI, timing of dose important, drug interactions"
Famotidine,Pepcid,GERD; heartburn; peptic ulcer disease,"GI upset, plateau effect","H2RA, timing of dose, less potent than PPIs"
Alendronate,Fosamax,Osteoporosis treatment and prevention; Paget's disease,"Esophageal/gastric ulceration, jaw necrosis, atypical fractures","Bisphosphonate, very specific administration instructions"
Levothyroxine,Synthroid; Levoxyl,Hypothyroidism,"Hypo/hyperthyroid symptoms, cardiac effects","Synthetic T4, monitor TSH/T4, very specific administration"
Metformin,Glucophage; Glucophage XR; Glumetza,Type 2 diabetes,"GI upset (diarrhea/cramping), lactic acidosis (rare)","Biguanide, first-line for T2DM, renal dose adjustment, weight neutral, cheap"
Glipizide,Glucotrol; Glucotrol XL,Type 2 diabetes,"Hypoglycemia, weight gain","Sulfonylurea, must take with food, durability issues, cheap"
Pioglitazone,Actos,Type 2 diabetes,"Weight gain, edema, fracture risk","TZD, 6+ weeks for effect, avoid in heart failure or liver dysfunction"
Sitagliptin,Januvia,Type 2 diabetes,"Well tolerated, rare: allergic reactions, pancreatitis, URTIs, joint pain","DPP-4 inhibitor, simple dosing, expensive, minimal hypoglycemia"
Empagliflozin,Jardiance,Type 2 diabetes; CV risk reduction; heart failure; CKD,"UTI, yeast infections, hypotension, electrolyte abnormalities, DKA (rare)","SGLT-2 inhibitor, additional CV/renal benefits, expensive"
Liraglutide,Victoza,Type 2 diabetes (age 10+); CV risk reduction,"GI upset (N/V/D), pancreatitis contraindication","GLP-1 agonist, injectable, must titrate, CV benefits"
Semaglutide,Ozempic,Type 2 diabetes; CV risk reduction,"GI upset (N/V/D), pancreatitis contraindication","GLP-1 agonist, weekly injection, must titrate, CV benefits"
Insulin glargine,Lantus; Basaglar; Toujeo,Type 1 and 2 diabetes,"Hypoglycemia, injection site reactions","Basal insulin, once daily, consistent timing"
Insulin aspart,Novolog,Type 1 and 2 diabetes,"Hypoglycemia, injection site reactions","Rapid-acting insulin, take 5-10 minutes before meals"
Insulin lispro,Humalog,Type 1 and 2 diabetes,"Hypoglycemia, injection site reactions","Rapid-acting insulin, take 5-10 minutes before meals"
Amoxicillin,Amoxil,Ear/nose/throat; skin infections; UTIs,"Diarrhea, drug fever, hypersensitivity reactions","Penicillin, incidence of allergy"
Amoxicillin/clavulanate,Augmentin,Ear/nose/throat; skin infections; UTIs,"Diarrhea, drug fever, hypersensitivity reactions","Penicillin with beta-lactamase inhibitor, broader spectrum"
Cephalexin,Keflex,Ear/nose/throat; skin infections; UTIs,"Diarrhea, drug fever","Cephalosporin, cross-reactivity with penicillin allergy"
Cefdinir,Omnicef,Ear/nose/throat; skin infections; UTIs,"Diarrhea, drug fever","Cephalosporin, cross-reactivity with penicillin allergy"
Azithromycin,Zithromax; Z-Pak,Ear/nose/throat; pneumonia; skin infections; STIs; MAC prophylaxis,Diarrhea,"Macrolide, 'big gun' antibiotic, not usually first-line"
Ciprofloxacin,Cipro,Complicated UTI/pyelonephritis; bone/joint infections; complicated intra-abdominal infections,"Tendon rupture/tendonitis, CNS effects, photosensitivity","Fluoroquinolone, 'big gun' for complicated infections"
Doxycycline,Vibramycin,Acne; rosacea; Lyme disease,"Photosensitivity, GI upset","Tetracycline, not for children or pregnant patients"
Clindamycin,Cleocin,Skin infections; intra-abdominal infections,"Diarrhea/colitis, hypersensitivity/rash","Can be dosed up to four times daily"
Metronidazole,Flagyl,Anaerobic infections; C. difficile diarrhea,"Headache, nausea, metallic taste","Avoid alcohol, treats bacterial and parasitic infections"
Sulfamethoxazole/trimethoprim,Bactrim; Bactrim DS,UTIs; acute otitis media; PCP prophylaxis; traveler's diarrhea,"Rash, photosensitivity","Drug interaction with warfarin, incidence of allergy"
Fluconazole,Diflucan,Candidiasis (vaginal; esophageal; oropharyngeal),"Headache, rash","Antifungal, drug interactions (CYP inhibitor)"
Acetaminophen,Tylenol,Fever reduction; minor pain,"Skin rash, liver damage","Max daily dose varies by strength, hepatotoxic in overdose"
Ibuprofen,Motrin; Advil,Fever; mild-moderate pain; osteoarthritis; inflammatory diseases,"CV and GI risk (boxed warnings), kidney disease","NSAID, take with food, many contraindications"
Naproxen,Aleve; Naproxen,Fever; mild-moderate pain; osteoarthritis; inflammatory diseases,"CV and GI risk (boxed warnings), kidney disease","NSAID, take with food, many contraindications"
Celecoxib,Celebrex,Acute pain; osteoarthritis; rheumatoid arthritis; JIA,"CV and GI risk (boxed warnings), kidney disease","COX-2 selective inhibitor"
Fentanyl,Duragesic,Chronic moderate-severe pain,"Addiction, abuse, misuse, respiratory depression, nausea, constipation","Transdermal opioid, CII controlled substance, REMS program"
Hydrocodone/acetaminophen,Vicodin; Lortab; Norco,Moderate-severe pain,"Addiction, abuse, misuse, respiratory depression, nausea, constipation","Combination opioid, CII controlled substance, bowel regimen"
Oxycodone ER,OxyContin,Chronic moderate-severe pain,"Addiction, abuse, misuse, respiratory depression, nausea, constipation","Extended-release opioid, CII controlled substance, abuse-deterrent"
Oxycodone IR,Oxy IR; Roxicodone,Moderate-severe pain,"Addiction, abuse, misuse, respiratory depression, nausea, constipation","Immediate-release opioid, CII controlled substance"
Oxycodone/acetaminophen,Percocet,Moderate-severe pain,"Addiction, abuse, misuse, respiratory depression, nausea, constipation","Combination opioid, CII controlled substance, bowel regimen"
Tramadol,Ultram,Moderate-severe pain,"Addiction, abuse, misuse, respiratory depression, nausea, constipation","Opioid, CIV controlled substance, lower abuse potential"
Citalopram,Celexa,Major depressive disorder,"Weight/GI effects, sexual dysfunction, QT prolongation, bleeding risk","SSRI, first-line for depression, boxed warning for suicidality"
Escitalopram,Lexapro,Major depressive disorder; generalized anxiety disorder,"Weight/GI effects, sexual dysfunction, QT prolongation, bleeding risk","SSRI, first-line for depression, boxed warning for suicidality"
Fluoxetine,Prozac,Major depressive disorder; OCD; bulimia; treatment-resistant depression,"Weight/GI effects, sexual dysfunction, drug interactions","SSRI, activating, drug interactions, boxed warning for suicidality"
Sertraline,Zoloft,Major depressive disorder; OCD; panic disorder; PTSD; PMDD; social anxiety,"Weight/GI effects, sexual dysfunction","SSRI, first-line for depression, boxed warning for suicidality"
Duloxetine,Cymbalta,Major depressive disorder; fibromyalgia; GAD; diabetic neuropathy; chronic musculoskeletal pain,"Loss of appetite, dizziness, insomnia, sexual dysfunction, hypertension, bleeding risk","SNRI, first-line for depression, boxed warning for suicidality"
Venlafaxine,Effexor,Major depressive disorder; GAD; social anxiety; panic disorder,"Loss of appetite, dizziness, insomnia, sexual dysfunction, hypertension, bleeding risk","SNRI, first-line for depression, boxed warning for suicidality"
Bupropion SR,Wellbutrin SR; Zyban,Major depressive disorder; smoking cessation,"GI upset, weight loss, insomnia","Norepinephrine/dopamine reuptake inhibitor, avoid in seizure/eating disorders"
Bupropion XL,Wellbutrin XL; Forfivo XL,Major depressive disorder; seasonal affective disorder,"GI upset, weight loss, insomnia","Norepinephrine/dopamine reuptake inhibitor, avoid in seizure/eating disorders"
Amitriptyline,Elavil,Major depressive disorder (off-label: neuropathy; migraine),"Anticholinergic effects, sedation","TCA, not first-line, time to effect, avoid sudden discontinuation"
Trazodone,Desyrel,Major depressive disorder (off-label: sleep),"Drowsiness, nausea, blurred vision, hypotension","Serotonin modulator, frequently used off-label for sleep"
Lorazepam,Ativan,Anxiety (short-term); preprocedural anxiety; status epilepticus,"Drowsiness, physical dependence","Benzodiazepine, CIV controlled substance, boxed warning with opioids"
Albuterol,ProAir; Ventolin; Proventil,Asthma (acute relief); exercise-induced bronchospasm,"Tremor, nervousness, tachycardia, hypokalemia","SABA, rescue inhaler only, prime before use, spacers for children/elderly"
Formoterol,Various brands,Maintenance treatment of asthma and COPD,Headache,"LABA, black box warning: do not use as monotherapy in asthma, must use with ICS"
Fluticasone,Flovent,Maintenance treatment of asthma and COPD,"Oral candidiasis (thrush), hoarseness, dysphonia","ICS, rinse mouth after use to prevent thrush"
Ipratropium,Atrovent,COPD,"Dry mouth, sinusitis, URTI, cough, bitter taste, urinary retention","SAMA, short-acting anticholinergic"
Tiotropium,Spiriva,COPD maintenance; asthma maintenance (Respimat),"Dry mouth, sinusitis, URTI, cough, may worsen glaucoma/BPH","LAMA, available as DPI and SMI"
Budesonide/formoterol,Symbicort,Asthma and COPD maintenance,"Combined ICS/LABA side effects","Combination ICS + LABA, HFA formulation"
Fluticasone/salmeterol,Advair,Asthma and COPD maintenance,"Combined ICS/LABA side effects","Combination ICS + LABA, available as Diskus and HFA"
Ipratropium/albuterol,Combivent,COPD,"Combined SAMA/SABA side effects","Combination SAMA + SABA, Respimat formulation"
Montelukast,Singulair,Asthma; allergic rhinitis,"Cough, headache, pharyngitis, abdominal pain, neuropsychiatric effects (rare)","LTRA, taken once daily in evening, dosed by age group"
Meclizine,Antivert,Motion sickness; vertigo,"Dry mouth, sedation, somnolence, blurred vision, anaphylaxis","Antihistamine, available OTC (Bonine/Dramamine), take 1 hour before travel"
Metoclopramide,Reglan,Chemotherapy-induced N/V; diabetic gastroparesis; GERD,"Fluid retention, nausea, headache, neuroleptic malignant syndrome, tardive dyskinesia","Dopamine antagonist, take 30 min before meals, avoid alcohol and MAOIs"
Ondansetron,Zofran,Chemotherapy-induced N/V; postoperative N/V; radiation-induced N/V,"Constipation, diarrhea, liver enzymes, headache, QT prolongation, torsades de pointes","5-HT3 antagonist, may cause constipation"
Allopurinol,Zyloprim,Gout; hyperuricemia; tumor lysis syndrome; calcium stones,"Rash, Stevens-Johnson syndrome, myelosuppression, hepatotoxicity, renal failure","Xanthine oxidase inhibitor, report rash immediately, take after meals, maintain hydration"
Colchicine,Colcrys,Gout treatment and prophylaxis; familial Mediterranean fever,"Diarrhea, nausea, vomiting, myelosuppression","Discontinue if neuromuscular toxicity, avoid grapefruit, many drug interactions"
Latanoprost,Xalatan,Glaucoma,"Eye irritation, increased brown pigmentation, longer/darker eyelashes, respiratory symptoms","Prostaglandin analog, once daily in evening, remove contacts before use, refrigerate"
Valacyclovir,Valtrex,Genital herpes; herpes labialis; shingles; varicella,"Rash, abdominal pain, nausea, headache, TTP, HUS","Guanosine nucleoside analog, maintain hydration, does not prevent transmission"
Zolpidem,Ambien,Insomnia,"Dizziness, drugged state, headache, depression worsening, suicidal thoughts","Nonbarbiturate hypnotic, CIV controlled substance, take immediately before bedtime, avoid high-fat meals"
Eszopiclone,Lunesta,Insomnia,"Dizziness, drugged state, headache, unpleasant taste, depression worsening","Nonbarbiturate hypnotic, CIV controlled substance, take immediately before bedtime"
Selegiline,Eldepryl; Emsam; Zelapar,Parkinson's disease; depression (transdermal),"Headache, insomnia, nausea, application site reaction, hallucinations, dyskinesia","MAO-B inhibitor, many drug interactions, ODT dissolves on tongue, transdermal has suicide warning"
Oxybutynin,Ditropan,Overactive bladder,"Constipation, diarrhea, dry mouth, UTI, local irritation (patch/gel)","Antimuscarinic, may cause drowsiness, avoid alcohol"
Tolterodine,Detrol LA,Overactive bladder,"Abdominal pain, constipation, dry mouth, headache","Antimuscarinic, extended-release formulation"
Finasteride,Proscar (BPH); Propecia (hair loss),BPH; male pattern alopecia,"Abnormal ejaculation, breast tenderness, reduced libido, breast neoplasm risk","5-alpha reductase inhibitor, Pregnancy Category X, improvement may take 3+ months"
Tamsulosin,Flomax,BPH,"Orthostatic hypotension, dizziness, headache, nasal congestion, priapism, syncope","Alpha-1 blocker, take at bedtime, rise slowly from sitting/lying"
Terazosin,Hytrin,BPH; hypertension,"Orthostatic hypotension, dizziness, headache, nasal congestion, priapism, syncope","Alpha-1 blocker, take at bedtime, rise slowly from sitting/lying, avoid sudden discontinuation"
Tadalafil,Cialis,BPH; erectile dysfunction; pulmonary hypertension,"Flushing, headache, indigestion, myalgia, visual disturbances, CV events, hearing loss","PDE5 inhibitor, avoid with nitrates/alpha-blockers, report erection >4 hours"
Sildenafil,Viagra (ED); Revatio (PAH),Erectile dysfunction; pulmonary hypertension,"Flushing, headache, indigestion, myalgia, visual disturbances, CV events, hearing loss","PDE5 inhibitor, take prior to sexual activity, avoid with nitrates/alpha-blockers"
Donepezil,Aricept,Alzheimer's disease (mild-moderate-severe),"Weight loss, GI upset, dizziness, bradyarrhythmia, torsades de pointes, GI hemorrhage","Cholinesterase inhibitor, take with food recommended, dose adjustment if missed several days"
Rivastigmine,Exelon,Alzheimer's disease; Parkinson's disease dementia,"Weight loss, GI upset, dizziness, bradyarrhythmia, torsades de pointes, GI hemorrhage","Cholinesterase inhibitor, available in patch form"
Memantine,Namenda,Alzheimer's disease (moderate-severe),"Hypertension, hypotension, syncope, confusion, dizziness, Stevens-Johnson syndrome, hepatitis","NMDA receptor antagonist, twice daily if >5mg/day, can sprinkle on applesauce"
Cyclobenzaprine,Flexeril,Skeletal muscle spasm,"Palpitations, bad taste, nausea, dry mouth, dizziness, somnolence, hepatitis","Centrally acting muscle relaxant, avoid MAOIs, not for long-term use (2-3 weeks), avoid alcohol"
Chlorpromazine,Thorazine,Schizophrenia; bipolar mania; behavioral disorders,"Sedation, EPS, anticholinergic effects, orthostasis, weight gain, prolactin elevation","First-generation antipsychotic, high sedation and anticholinergic effects"
Haloperidol,Haldol,Schizophrenia; behavioral disorders; Tourette's,"EPS, hyperprolactinemia","First-generation antipsychotic, high EPS risk, oral and injectable"
Aripiprazole,Abilify,Bipolar disorder; autism irritability; treatment-resistant MDD; schizophrenia; Tourette's,"Lower metabolic risk","Second-generation antipsychotic, mixed agonist/antagonist activity, use in MDD"
Lurasidone,Latuda,Bipolar depression; schizophrenia,Sedation,"Second-generation antipsychotic, lower metabolic risk, must take with >350 calorie meal"
Olanzapine,Zyprexa,Bipolar disorder; treatment-resistant MDD; schizophrenia; acute agitation,"Weight gain, metabolic effects","Second-generation antipsychotic, highest weight gain risk among SGAs"
Quetiapine,Seroquel,Bipolar disorder; schizophrenia; MDD adjunct,"Metabolic effects, sedation","Second-generation antipsychotic, off-label use for sleep"
Risperidone,Risperdal,Bipolar mania; schizophrenia; autism irritability,"Hyperprolactinemia, metabolic effects","Second-generation antipsychotic, highest prolactin risk among SGAs"
Clozapine,Clozaril,Treatment-resistant schizophrenia; suicidal behavior in schizophrenia,"Sedation, anticholinergic effects, weight gain, severe neutropenia","Most effective antipsychotic but most severe side effects, requires ANC monitoring"
Oxcarbazepine,Trileptal,Partial seizures,"Nausea, dizziness, drowsiness, hyponatremia, hypersensitivity reactions","CYP3A4 inducer, drug interactions"
Phenobarbital,Luminal,Seizures; status epilepticus; sedation,"CNS depression, respiratory depression, CV effects","Strong CYP3A4 inducer, controlled substance, therapeutic drug monitoring"
Phenytoin,Dilantin,Seizures; status epilepticus,"CNS depression, blood dyscrasias, CV effects, hepatotoxicity","Strong CYP3A4 inducer, therapeutic drug monitoring"
Topiramate,Topamax,Seizures; migraine prophylaxis,"Abdominal pain, low appetite, dizziness, kidney stones, cognitive dysfunction, weight loss","FDA-approved with phentermine for weight loss"
Carbamazepine,Tegretol,Seizures; bipolar disorder; neuropathic pain,"Nausea, dizziness, blood dyscrasias, hyponatremia, hepatotoxicity","Strong CYP3A4 inducer, therapeutic drug monitoring, genetic testing"
Divalproex,Depakote,Bipolar disorder; seizures; migraine prophylaxis,"Nausea, weight gain, somnolence, hepatotoxicity, pancreatitis, thrombocytopenia","Multiple dosage forms, therapeutic drug monitoring, teratogenic"
Lamotrigine,Lamictal,Bipolar disorder; seizures,"Dizziness, somnolence, gait issues, serious skin rashes","Must be titrated very slowly over weeks, drug interaction with valproic acid"
Lithium,Lithobid,Bipolar disorder (mania; mixed episodes; maintenance),"Cardiac effects, CNS effects, N/V/D, hypothyroidism, renal effects, tremor, weight gain","Narrow therapeutic index, therapeutic drug monitoring essential"
Gabapentin,Neurontin,Postherpetic neuralgia; seizures,"Dizziness, drowsiness, fatigue, gait issues, CNS/respiratory depression","Often used off-label for diabetic neuropathy, renal dosing, controlled substance in some states"
Pregabalin,Lyrica,Postherpetic neuralgia; diabetic neuropathy; spinal cord injury neuropathy; fibromyalgia; seizures,"Dizziness, drowsiness, visual disturbances, dry mouth, edema, weight gain","Renal dosing, controlled substance"